Özgün Deðer Rapor;Özgün Deðer
Proje önerisi Türkiye’de lisans düzeyinde verilen havacýlýk eðitimine pilot adayý seçimine yönelik modüler bir deðerlendirme sistemi kurmaya yönelik tasarlanmýþtýr. Görüldüðü kadarýyla öneri temelde uygulamaya dönük bir problemi tespit ederek bu problemin giderilmesi amacýný taþýmakta ancak mevcut yazýna dair yapýlan tartýþmada böyle bir eðitim modeli tasarlamanýn bilimsel birikime nasýl bir katkýsý olacaðý eksik kalmaktadýr. Bir takým testlerin Ýngilizce olmasý ya da kültüre özgü dinamikleri göz önüne katmayan sorulardan oluþmalarýnýn yaratabileceði sýkýntýya araþtýrmacýlar tarafýndan çok kýsaca deðinilmiþtir. Ýkna edici bir tartýþma ve beklenen farklýlýklara dair kuramsal bir çerçeve de kullanýlmadýðý için uygulamanýn pratikte maddi fayda saðlamasýnýn dýþýnda tüm modüllerinin Türkiye’de sýfýrdan hazýrlanmasýnýn yazýna özgün deðer olarak nasýl bir katký saðlayacaðý belirsizdir. Araþtýrma önerisinde metodolojiye dair de bir yenilik getirilmediðinden çalýþmanýn özgün deðeri düþüktür.Havacýlýkta þu anda kullanýlmakta olan seçme sistemlerinin eksik yönlerinin bulunmasý yeni bir proje sunmak için yeterli özgün deðer yaratmamaktadýr. Araþtýrmacýlarýn net þekilde özgün deðeri, hangi iliþkilere bakacaklarýný, hangi kavramlarý hangi kavramlarla iliþkilendireceklerini belirtilmesi gerekir. Hipotez yer almamaktadýr, örneðin bu sistemle baþarý kriterleri üzerine çeþitli hipotezler geliþtirilebilir.;2,20
"Bu araþtýrmanýn amacý bir konumlandýrma modeli yardýmýyla EPS sektöründe yer alan oyuncularýn arasýndaki iliþkilerin derecelerinin ve bölgesel kümelenmelerinin belirlenmesidir. Ele alýnan sektörün özellikle son dönemde “Binalarda Enerji Performansý Yönetmeliði” nedeniyle sosyo-ekonomik açýdan önem kazandýðý belirtilmiþtir.Projenin özgün deðerine iliþkin olarak yapýlabilecek en temel eleþtiri projenin paydaþlarýnýn, baþka bir deyiþle, projenin planlanan hedeflere ulaþmasý halinde bundan faydalanacak kiþi ve kurumlarýn kýsýtlý olmasýdýr. Açýktýr ki; projenin yaratacaðý sosyal veya ekonomik deðeri belirleyecek olan, projenin temel hedef olarak göze çarpan “sektörün mevcut durumunun bir fotoðrafýnýn ortaya konmasý” deðil, bu fotoðrafýn paydaþlar için yaratacaðý faydadýr. Proje kapsamýnda yeni bir kuram veya yöntem geliþtirilmeyeceði, daha ziyade belirli sayýsal yöntemlerin EPS sektörüne iliþkin toplanacak verilere uygulanacaðý göz önünde bulundurulduðunda projenin özgün deðerinin tamamen yukarýda belirtilen sosyal ve ekonomik faydada yattýðý görülmektedir. Bu kapsamda çalýþma, durum tespiti niteliði taþýmaktadýr. Proje önerisinin literatür taramasý bölümünde EPS sektörü üzerine yapýlan çalýþmalar incelenmiþ ve  “akademik anlamda çok boyutlu olarak sektörel herhangi bir çalýþma yapýlmamýþ” olduðu sonucuna ulaþýlmýþtýr. Ancak bu durum, tek baþýna, bu çalýþmanýn yapýlmasýnýn gerekliliðine iþaret etmemektedir. Literatür taramasý en azýndan baþka ülkeler veya baþka sektörler için yapýlmýþ benzer çalýþmalar hakkýnda bilgi vermeli, bu çalýþmalarýn sonuçlarýnýn yarattýðý sosyal ve ekonomik faydalarý tartýþmalýdýr. Baþka bir deyiþle, bu çalýþmanýn Türkiye’de EPS sektöründe yapýlmasýnýn gerekliliði konusunda tatmin edici düzeyde bilgi vermelidir. Yukarýda belirtilen eksiklikler nedeniyle projenin özgün deðerinin yetersiz olduðu düþünülmektedir.";1,40
"Araþtýrma önerisinde duygusal zekanýn yönetici, çalýþan, müþteri ve örgüt açýsýndan doðuracaðý sonuçlarýn incelenmesi amaçlanmaktadýr. Daha önceki dönemde de sunulmuþ olan çalýþmanýn bir önceki panel deðerlendirme raporundaki önerileri sýnýrlý düzeyde ele aldýðý gözlenmektedir. Örneðin halen, önerilen iliþkilerin çalýþýlmasýnýn neden gerektiði veya yazýna nasýl katkýda bulunacaðý net olarak açýklanmamaktadýr. Yazýn taramasýnýn daha odaklý biçimde yapýlmasý önerisi dikkate alýnmamýþ, proje önerisi hemen hemen ayný þekilde tekrar sunulmuþtur. Araþtýrmacýlardan beklenen, yazýnda belli bir boþluðun saptanýp o alanda bilimsel katký saðlamaya yönelik bir öneri geliþtirmeleridir. Hipotezlerin çok fazla olduðu geribildirimine karþýlýk araþtýrmacýlarýn yaptýðý, daha önceki raporda kurulumunun net olmadýðýna örnek olarak verilen bir kaç hipotezi çýkararak diðerlerini ayný þekilde korumak olmuþtur. Bu, bir önceki rapordaki önerileri çok özenli incelemedikleri izlenimini yaratmaktadýr. Bu nedenle halen esas sorun devam etmektedir: hipotezlerin kurulumunda açýk ifadeler yer almamaktadýr, bu da  çalýþmanýn niteliðine dair soru iþaretleri oluþturmuþtur. Örneðin ilk hipotezde ""duygusal zeka yöneticilerin iþ gören seçiminde doðru karar vermesini etkiler"" hipotezinde yer alan kavramlar belirsiz kalmaktadýr; ""Müþteri memnuniyetinin saðlanmasýnda duygusal zekanýn etkisi vardýr"" hipotezi gibi kurulan hipotezlerde ise iliþkinin yönüne dair (olumlu, olumsuz gibi) beklenti ifade edilmemiþtir. Ayrýca bu iliþkilerin neden beklendiði de ikna edici biçimde tartýþýlmamýþtýr. Hipotezlerde nelerin ölçüldüðü anlaþýlamamaktadýr. Örneðin, ‘Duygusal zeka yöneticilerin iþgören seçiminde doðru karar vermesini etkiler’ hipotezinde doðru karar vermenin nasýl iþlemsel hale getirileceði belirtilmemiþtir. Ýki kavram üzerine olan bir hipotezde bu iki kavram belirtilip açýklanmalýdýr. Özellikle birinci boyutla ilgili hipotezlerde bu sorun yaþanmaktadýr.Bunun yaný sýra, hipotezlerin çoðunun literatürde incelendiði düþünülmektedir. Ýncelenmeyenlerin hangileri olduðu anlaþýlmamaktadýr. Türkiye’de ve turizm sektöründe böyle bir araþtýrmanýn gerekliliði açýklanmamýþtýr. Özgün deðer olarak 4 boyutlu bir çalýþma olmasýndan bahsedilmiþ, ancak 4 boyutun ayný çalýþmada olmasýnýn nasýl bir katkýsý ve farklýlýðý olduðu belirtilmemiþtir. Ayrýca þu noktalarýn tekrar gözden geçirilmesi önerilmektedir: Duygusal zeka kavramýnýn kiþiye özel, içkin bir yeti olup olmadýðý ve eðitim yolu ile geliþtirilebilecek bir beceri olup olmadýðý teorik tartýþmalar çerçevesinde detaylý olarak anlatýlmalýdýr. Duygusal zekanýn alt boyutlarýna iliþkin yeterli bilgi yer almamaktadýr, bu kavramýn alt boyutlarý açýklanmalýdýr. Türkiye'deki duygusal zeka uygulamalarý ve kullanýlan araçlar ile ilgili daha detaylý tarama yapýlmalýdýr.Sonuç olarak çalýþmanýn özgün deðerinin yeterli olduðu düþünülmemektedir.";2,40
Bu projede ürün geliþtirme, üretim uygulamalarý, insan kaynaklarý yönetimi, stratejik yönetim, teknoloji yönetimi ve sürdürülebilirlik alanlarýndaki uygulamalarýn þirket performansýna olan etkileri analiz edilecektir. Bu baðlamda çok detaylý bir anketle Türkiye'deki þirketlerden veri toplanacak ve bu veri üzerinden Yüksek Performanslý Üretim projesi kapsamýnda tanýmlanmýþ hipotezler test edilecektir. Benzer analizler diðer ülkelerde yapýlmýþtýr ve bu çerçevede projenin katkýsý ayný analizlerin Türkiye için tekrarýyla sýnýrlýdýr. Özgün deðer metodolojik veya kuramsal olmaktan ziyade, daha çok kavramsal alandadýr. Revize edilmiþ öneride kültürel faktörlere iliþkin yeni hipotezler öneriye eklenmiþtir. Ancak bu hipotezlerin test edilmesi için ne tür veriye ihtiyaç olduðu ve bu verinin var olan soru setinde bulunup bulunmadýðý belirsizlik taþýmaktadýr. ;2,00
"Projenin özgün deðeri ilk olarak, kalite/çevre yönetim uygulamalarýný, kurumsal teori ve kaynak baðýmlýlýðý yaklaþýmlarýnýn temel argümanlarýna dayanarak öncülleri ve sonuçlarýyla ele almak olarak tanýmlanmýþtýr. Bununla birlikte, kalite/çevre yönetimi uygulamalarýnýn öncüllerinin etki mekanizmalarý ile sonuçlara (performansa) etki mekanizmalarý açýkça belirtilmemiþtir. Araþtýrmanýn kaynak tabanlý ve kurumsal teori ile baðý kurulamamýþtýr. Performansla ilgili olarak, özellikle çevre yönetim sistemleri ile ilgili uygulamalarýn maliyeti ve elde edilecek kazançlarýn çok uzun vadeli ve belirsiz olmalarý nedeniyle, performansa etkisinin nasýl belirleneceði de belirsizdir. Ýkincisi, kalite ve çevre yönetimini bütünleþik olarak ele alan çalýþmalarýn azlýðýndan bahsedilmiþtir. Ancak bu iki alaný bütünleþik olarak ele almanýn gerekliliði belirtilmemiþtir. Kalite ve çevre yönetimi konusunda ayrý ayrý araþtýrmalar yapmanýn zaman kaybýna yol açtýðý vurgulanmýþtýr; ancak bütünleþik bir yaklaþýmýn literatüre nasýl bir katký saðlayacaðý belirsizdir. Sonuç olarak; 1.Araþtýrmanýn temel problemi belirsizdir. Kalite ve Çevre Yönetim Sistemi (KÇY) Ölçeði geliþtirilmesinin hem akademik ve hem de uygulama baðlamýnda bir fayda saðlamasý zayýftýr. Zaten ISO 9000, EFQM gibi uygulamacýlar tarafýndan genel kabul gören standart setleri “model kriterleri, Kalite ve Çevre Yönetim Sistemleri”nin hangi boyutlar/kriterler bazýnda kurgulanmasý ve sürdürülmesi gerektiðini belirlemektedirler. Söz konusu sistemler kurum haline gelmiþ ve kendi denetim/takip ve sertifikasyon yenileme/  ödüllendirme sistemlerini kabul ettirmiþlerdir. 2.KÇY Sistemlerinin bir ölçek geliþtirerek kavramsallaþtýrýlmasý da ayrýca fayda yaratacak bir yaklaþým deðildir. Zaten bir kavramsal çerçeve vardýr; bu çerçeve esas alýnarak kontrol listeleri- özdeðerlendirme, saha denetim formlarý vb. oluþturulmuþtur. Akademia’nýn eklektik bir model geliþtirmesi veya belirtilen kontrol listelerini “ölçek geliþtirme” adý altýnda bir kez daha oluþturmasýnýn özgün deðeri zayýftýr.3.Araþtýrmanýn problemi “Kalite ve Çevre Yönetim Sistem sertifikasyonuna yönelik yapý ve süreçlere iliþkin düzenlemeler/ sistem kurma faaliyetleri entegre bir þekilde mi yürütülmelidir? / ISO 1000 Þirketleri neden KÇY Sistemi kuruyor/ bu sistemleri kurmaktan hangi sonuçlarý elde etmiþler/ Sistemi nasýl kurmuþlar ? / Onlarýn tecrübelerine göre bu tür bir deðiþim sürecinde kritik öneme sahip adýmlar nelerdir?...”  gibi somut bir biçimde yeniden ifade edilmeli ve belirlenen probleme göre örneklem- yöntem- analiz-bulgu planlamasý yapýlmalýdýr.     4.Projenin ve dolayýsýyla araþtýrma problem(ler)inin kuramsal olarak dayandýrýldýðý ifade edilen Kurumsalcý Kuram “örgütler neden benzeþiyor, bir yönetim uygulamasýnýn difüzyonu hangi mekanizmalarla saðlanýyor”  sorularýna cevap aramaktadýr. Dolayýsýyla araþtýrma probleminin de “iþletmeler neden KÇY Sistem sertifikasyonuna yöneliyor, KÇY neden örgütler arasýnda hýzla yayýlýyor?” þeklinde formüle edilmesi gerekir. Yine projenin dayandýrýldýðý ikinci bir kuram  olarak da Kaynaklara Dayanan (resource-based ) Yaklaþým’dan söz ediliyor. Bilindiði gibi bu kuram “örgütlerin rekabet gücünü çevre deðil; sahip olduklarý kaynaklar ve yeteneklerden alýr, her örgüt eþsiz bir kaynak kombinasyonudur” argümanýna dayanmaktadýr. Bu durumda projede örgütlerin neden KÇY Sistemi kurmaya zorlandýklarýný müþteri baskýlarý, rekabetin yoðunlaþmasý gibi dýþsal nedenlerle açýklamak ve hatta bunlarýn bir kýsmýný hipotetik modele öncül-moderatör vb. deðiþken olarak koymak sorunlu gibi görünmektedir. ";2,67
Proje önerisi Türkçenin sözvarlýðýnda toplumsal cinsiyete sahip 577 kelimeyi toplumdilbilimsel açýdan inceleyecek olmasý bakýmýndan özgündür. Proje toplumsal rol ve deðer yargýlarýnýn dile yansýyýþ þeklini belirlemek istemesi bakýmýndan önemlidir. Proje konusu Türkçede daha önce ele alýnmadýðý kapsam ve boyutlardadýr, bu nedenle ortaya konmasý beklenen sonuçlarýn bilimsel deðeri de o ölçüde yüksek olacaktýr. Braun 2000'i tamamlayan ama ondan farklý yönlerde ve doðrudan belirli bir sözcük listesi üzerinden yapýlmasý da araþtýrmanýn özgün deðerini artýrmaktadýr.;4,40
Projede imparatorluktan millî devlete geçiþ yolunda önemli bir dönüm noktasý olan Çanakkale Savaþlarýnýn edebiyata yansýmalarý üzerinde yapýlacak bir öneri bulunmaktadýr. Çanakkale Savaþlarý Birinci Dünya Savaþý içinde bütünüyle kötüye giden bir sürecin “Türk Milleti” açýsýndan tek olumlu noktasýdýr. Bunun için de devrinden itibaren daima bir milletin kaderindeki kýrýlma noktasý olarak görülmüþ ve deðerlendirilmiþtir. Proje, Birinci Dünya Savaþýnýn baþlangýcýnýn ve Çanakkale Savaþlarýnýn 100. yýlýnýn yaklaþtýðý bir zamanda önemli bir teklif olarak görülmektedir. Projenin baþlýca amacý “Çanakkale Zaferi’ni belgeleyen süreli yayýnlardaki (1915-1923) þiir türünden metinleri derlemek ve bu metinlerdeki milli kimlik inþasýnýn boyutlarýný incelemek, tartýþmaktýr” þeklinde belirtilmiþtir. Ancak projenin özgün deðerini tartýþmaya açan þu tespitlerde bulunulmuþtur:1) Proje baþlýðýnda bir sýnýrlama öngörülmemekle birlikte önerinin þiir türüyle sýnýrlandýrýlmasý bir eksiklik olarak deðerlendirilmiþtir. 2) Proje edebiyat merkezli olmakla birlikte tarih, sosyoloji, psikoloji, dilbilim, etnografya, siyaset-bilim gibi disiplinlerden kuramsal boyutta yararlanmayý ve bu disiplinler için yeni bir bilgi sunmayý amaçlamaktadýr. Ancak proje ekibi sadece Türk dili ve edebiyatý uzmanlarýndan oluþmaktadýr. 3) Projede sadece derlemeci ve saptayýcý noktada kalýnmayarak þiir üzerinden millî kimlik inþasýnýn nasýl gerçekleþtirildiðinin araþtýrýlacaðý önerilmiþtir. Millî kimlik inþasýna giden yolda Çanakkale zaferini anlatan þiirlerin içerik analizinin yapýlmasý da planlanmaktadýr. Bu boyutuyla önerinin özgün olduðu düþünülmektedir. Ancak projenin derlemeci ve saptayýcý kýsmý ön plana çýkarýlmýþ, analiz boyutu zayýf ve soyut býrakýlmýþtýr. ;2,83
Proje, Eskiþehir’deki Türkmen Alevilerinin yaþadýðý yerleþim birimlerini tespit etmeyi, söz konusu topluluðun inanç yapýsý ve halk kültürü ürünlerini ortaya çýkarmayý amaçladýðý için özgündür.  Bu yolla Anadolu Alevileriyle ilgili çalýþmalara katkýda bulunulabilecektir. Ancak Türkmen Alevileriyle ilgili olarak sahadan hangi halk kültürü ürünlerinin derleneceði ayrýntýlý olarak açýklanmadýðý için öneri yeterince özgün bulunmamýþtýr.  Projede, elde edilecek verilerin halkbilimi ve din sosyolojisi kuramlarýna göre inceleneceði sýk sýk söylense de bu kuramlarýn sýnýrlarý tam olarak çizilmemiþtir. Bu kuramlarýn nasýl, hangi boyutlarý ile çalýþmaya katký sunacaðý belirtilmemiþtir. Elde edilecek verilerin SOKÜM olarak tanýmlanan ana baþlýklar altýnda inceleneceði ifade edilmiþtir. Bu ise kuramsal bir yaklaþým deðil, sýnýflama ölçütü olarak deðerlendirilebilir. Ayrýca din sosyolojisinin ne olduðu ve nasýl uygulanacaðý açýklanmamýþtýr. Proje önerisinde Eskiþehir’de yaþayan Türkmen Alevilerine ait halk kültürü ürünlerinin UNESCO’nun “Somut Olmayan Kültürel Mirasýn Korunmasý Sözleþmesi” kapsamýnda deðerlendirileceði ifade edilmiþtir. Buna göre söz konusu halk kültürü ürünlerine bu sözleþmenin temel hedefleri olan “koruma-yaþatma ve aktarma” baðlamýnda mý yaklaþýlacaktýr yoksa sadece mevcut kültürel deðerlerin tespit edilmesine mi odaklanýlacaktýr, bu konuda bir belirsizlik vardýr.   ;3,00
"Eskiþehir'de yaþayan Kýrým Tatarlarý üzerine daha önce böyle bir çalýþma yapýlmamýþ olmasý önerilen çalýþmanýn özgün yönünü oluþturmaktadýr. Kýrým Tatarlarýnýn göç ve geleneksel halk kültürü iliþkisinin ortaya konulmasý, sözü edilen hipotezlerin araþtýrýlmasý, Kýrým Tatarlarýna dair bu konu temelinde yapýlan çalýþmalarýn azlýðý, çalýþmada toplanacak verilerin UNESCO’nun ilan ettiði Somut Olmayan Kültürel Miras kadrolarýyla iliþkilendirilmesi çalýþmayý ön plana çýkarmaktadýr. Elde edilen bulgular Anadolu'da yaþayan diðer diaspora topluluklarý hakkýnda çalýþma yapacak araþtýrmacýlar için de önemli bir literatür bilgisi saðlayacaðý için proje önerisinin özgün deðeri olduðu düþünülmüþtür. Ancak proje önerisinin literatür özetinde verilen eserler özet halinde sunulmuþtur; bir analiz, sentez ya da karþýlaþtýrma yapýlmamýþtýr. ";4,33
"Proje önerisinin amacý ""Aksaray’ýn çözünürlük düzeyi yüksek bir fotoðrafýný çekebilmek ve bu eksik kapsamanýn sebeplerinin neler olabileceðini tespit etmek"" olarak belirlenmiþtir. Önerilen projenin Aksaray'da yapýlmasý özgünlük olarak belirtilmiþtir ancak çalýþmanýn özgün olabilmesi için seçilen þehirden ziyade kavramsal, teorik veya ampirik özgünlük anlaþýlmalýdýr. Hem nitel hem de nicel veri toplama tekniklerinin kullanýlmasý önemlidir ancak birçok araþtýrmada bu tekniklerin kullanýldýðý bilinmektedir; önerinin bu noktada bir özgünlük doðurmayacaðý düþünülmektedir. Mütevazi olduðu iddia edilen çalýþmada araþtýrma tarzý olarak anlamacý, açýklayýcý ve yorumlayýcý tarzlarýn hepsinin ayný anda yapýlabilmesi çok zordur.Ayrýca proje önerisi, konunun ortaya konuluþu ve kavramsallaþtýrma açýsýndan bazý sorunlar taþýmaktadýr. Öncelikle, Eksik Kapsama Halleri (EKS) olarak tanýmlanan durum, bazý toplum katmanlarýnýn kent hayatýna dahil edilmedikleri þeklinde tanýmlanmaktadýr. Eðer durum bu ise, kim, neden ve nasýl bu katmanlarý kent hayatýndan uzaklaþtýrmakta, dýþlamaktadýr? Araþtýrmanýn objesi olan ev hanýmlarý, yoksullar, yaþlýlar, engelliler ve öðrenciler toplumun dýþýnda, uzaðýnda mý yaþamaktadýr? Bu sorularýn cevabý proje önerisinde yer almamaktadýr. Proje önerisinin bu haliyle özgün bir deðere sahip olduðunu söylemek güçtür. ";2,80
