Özgün Değer Rapor	Özgün Değer
Proje önerisi Türkiye’de lisans düzeyinde verilen havacılık eğitimine pilot adayı seçimine yönelik modüler bir değerlendirme sistemi kurmaya yönelik tasarlanmıştır. Görüldüğü kadarıyla öneri temelde uygulamaya dönük bir problemi tespit ederek bu problemin giderilmesi amacını taşımakta ancak mevcut yazına dair yapılan tartışmada böyle bir eğitim modeli tasarlamanın bilimsel birikime nasıl bir katkısı olacağı eksik kalmaktadır. Bir takım testlerin İngilizce olması ya da kültüre özgü dinamikleri göz önüne katmayan sorulardan oluşmalarının yaratabileceği sıkıntıya araştırmacılar tarafından çok kısaca değinilmiştir. İkna edici bir tartışma ve beklenen farklılıklara dair kuramsal bir çerçeve de kullanılmadığı için uygulamanın pratikte maddi fayda sağlamasının dışında tüm modüllerinin Türkiye’de sıfırdan hazırlanmasının yazına özgün değer olarak nasıl bir katkı sağlayacağı belirsizdir. Araştırma önerisinde metodolojiye dair de bir yenilik getirilmediğinden çalışmanın özgün değeri düşüktür.Havacılıkta şu anda kullanılmakta olan seçme sistemlerinin eksik yönlerinin bulunması yeni bir proje sunmak için yeterli özgün değer yaratmamaktadır. Araştırmacıların net şekilde özgün değeri, hangi ilişkilere bakacaklarını, hangi kavramları hangi kavramlarla ilişkilendireceklerini belirtilmesi gerekir. Hipotez yer almamaktadır, örneğin bu sistemle başarı kriterleri üzerine çeşitli hipotezler geliştirilebilir.	2,20
"Bu araştırmanın amacı bir konumlandırma modeli yardımıyla EPS sektöründe yer alan oyuncuların arasındaki ilişkilerin derecelerinin ve bölgesel kümelenmelerinin belirlenmesidir. Ele alınan sektörün özellikle son dönemde “Binalarda Enerji Performansı Yönetmeliği” nedeniyle sosyo-ekonomik açıdan önem kazandığı belirtilmiştir.Projenin özgün değerine ilişkin olarak yapılabilecek en temel eleştiri projenin paydaşlarının, başka bir deyişle, projenin planlanan hedeflere ulaşması halinde bundan faydalanacak kişi ve kurumların kısıtlı olmasıdır. Açıktır ki; projenin yaratacağı sosyal veya ekonomik değeri belirleyecek olan, projenin temel hedef olarak göze çarpan “sektörün mevcut durumunun bir fotoğrafının ortaya konması” değil, bu fotoğrafın paydaşlar için yaratacağı faydadır. Proje kapsamında yeni bir kuram veya yöntem geliştirilmeyeceği, daha ziyade belirli sayısal yöntemlerin EPS sektörüne ilişkin toplanacak verilere uygulanacağı göz önünde bulundurulduğunda projenin özgün değerinin tamamen yukarıda belirtilen sosyal ve ekonomik faydada yattığı görülmektedir. Bu kapsamda çalışma, durum tespiti niteliği taşımaktadır. Proje önerisinin literatür taraması bölümünde EPS sektörü üzerine yapılan çalışmalar incelenmiş ve  “akademik anlamda çok boyutlu olarak sektörel herhangi bir çalışma yapılmamış” olduğu sonucuna ulaşılmıştır. Ancak bu durum, tek başına, bu çalışmanın yapılmasının gerekliliğine işaret etmemektedir. Literatür taraması en azından başka ülkeler veya başka sektörler için yapılmış benzer çalışmalar hakkında bilgi vermeli, bu çalışmaların sonuçlarının yarattığı sosyal ve ekonomik faydaları tartışmalıdır. Başka bir deyişle, bu çalışmanın Türkiye’de EPS sektöründe yapılmasının gerekliliği konusunda tatmin edici düzeyde bilgi vermelidir. Yukarıda belirtilen eksiklikler nedeniyle projenin özgün değerinin yetersiz olduğu düşünülmektedir."	1,40
"Araştırma önerisinde duygusal zekanın yönetici, çalışan, müşteri ve örgüt açısından doğuracağı sonuçların incelenmesi amaçlanmaktadır. Daha önceki dönemde de sunulmuş olan çalışmanın bir önceki panel değerlendirme raporundaki önerileri sınırlı düzeyde ele aldığı gözlenmektedir. Örneğin halen, önerilen ilişkilerin çalışılmasının neden gerektiği veya yazına nasıl katkıda bulunacağı net olarak açıklanmamaktadır. Yazın taramasının daha odaklı biçimde yapılması önerisi dikkate alınmamış, proje önerisi hemen hemen aynı şekilde tekrar sunulmuştur. Araştırmacılardan beklenen, yazında belli bir boşluğun saptanıp o alanda bilimsel katkı sağlamaya yönelik bir öneri geliştirmeleridir. Hipotezlerin çok fazla olduğu geribildirimine karşılık araştırmacıların yaptığı, daha önceki raporda kurulumunun net olmadığına örnek olarak verilen bir kaç hipotezi çıkararak diğerlerini aynı şekilde korumak olmuştur. Bu, bir önceki rapordaki önerileri çok özenli incelemedikleri izlenimini yaratmaktadır. Bu nedenle halen esas sorun devam etmektedir: hipotezlerin kurulumunda açık ifadeler yer almamaktadır, bu da  çalışmanın niteliğine dair soru işaretleri oluşturmuştur. Örneğin ilk hipotezde ""duygusal zeka yöneticilerin iş gören seçiminde doğru karar vermesini etkiler"" hipotezinde yer alan kavramlar belirsiz kalmaktadır; ""Müşteri memnuniyetinin sağlanmasında duygusal zekanın etkisi vardır"" hipotezi gibi kurulan hipotezlerde ise ilişkinin yönüne dair (olumlu, olumsuz gibi) beklenti ifade edilmemiştir. Ayrıca bu ilişkilerin neden beklendiği de ikna edici biçimde tartışılmamıştır. Hipotezlerde nelerin ölçüldüğü anlaşılamamaktadır. Örneğin, ‘Duygusal zeka yöneticilerin işgören seçiminde doğru karar vermesini etkiler’ hipotezinde doğru karar vermenin nasıl işlemsel hale getirileceği belirtilmemiştir. İki kavram üzerine olan bir hipotezde bu iki kavram belirtilip açıklanmalıdır. Özellikle birinci boyutla ilgili hipotezlerde bu sorun yaşanmaktadır.Bunun yanı sıra, hipotezlerin çoğunun literatürde incelendiği düşünülmektedir. İncelenmeyenlerin hangileri olduğu anlaşılmamaktadır. Türkiye’de ve turizm sektöründe böyle bir araştırmanın gerekliliği açıklanmamıştır. Özgün değer olarak 4 boyutlu bir çalışma olmasından bahsedilmiş, ancak 4 boyutun aynı çalışmada olmasının nasıl bir katkısı ve farklılığı olduğu belirtilmemiştir. Ayrıca şu noktaların tekrar gözden geçirilmesi önerilmektedir: Duygusal zeka kavramının kişiye özel, içkin bir yeti olup olmadığı ve eğitim yolu ile geliştirilebilecek bir beceri olup olmadığı teorik tartışmalar çerçevesinde detaylı olarak anlatılmalıdır. Duygusal zekanın alt boyutlarına ilişkin yeterli bilgi yer almamaktadır, bu kavramın alt boyutları açıklanmalıdır. Türkiye'deki duygusal zeka uygulamaları ve kullanılan araçlar ile ilgili daha detaylı tarama yapılmalıdır.Sonuç olarak çalışmanın özgün değerinin yeterli olduğu düşünülmemektedir."	2,40
Bu projede ürün geliştirme, üretim uygulamaları, insan kaynakları yönetimi, stratejik yönetim, teknoloji yönetimi ve sürdürülebilirlik alanlarındaki uygulamaların şirket performansına olan etkileri analiz edilecektir. Bu bağlamda çok detaylı bir anketle Türkiye'deki şirketlerden veri toplanacak ve bu veri üzerinden Yüksek Performanslı Üretim projesi kapsamında tanımlanmış hipotezler test edilecektir. Benzer analizler diğer ülkelerde yapılmıştır ve bu çerçevede projenin katkısı aynı analizlerin Türkiye için tekrarıyla sınırlıdır. Özgün değer metodolojik veya kuramsal olmaktan ziyade, daha çok kavramsal alandadır. Revize edilmiş öneride kültürel faktörlere ilişkin yeni hipotezler öneriye eklenmiştir. Ancak bu hipotezlerin test edilmesi için ne tür veriye ihtiyaç olduğu ve bu verinin var olan soru setinde bulunup bulunmadığı belirsizlik taşımaktadır. 	2,00
"Projenin özgün değeri ilk olarak, kalite/çevre yönetim uygulamalarını, kurumsal teori ve kaynak bağımlılığı yaklaşımlarının temel argümanlarına dayanarak öncülleri ve sonuçlarıyla ele almak olarak tanımlanmıştır. Bununla birlikte, kalite/çevre yönetimi uygulamalarının öncüllerinin etki mekanizmaları ile sonuçlara (performansa) etki mekanizmaları açıkça belirtilmemiştir. Araştırmanın kaynak tabanlı ve kurumsal teori ile bağı kurulamamıştır. Performansla ilgili olarak, özellikle çevre yönetim sistemleri ile ilgili uygulamaların maliyeti ve elde edilecek kazançların çok uzun vadeli ve belirsiz olmaları nedeniyle, performansa etkisinin nasıl belirleneceği de belirsizdir. İkincisi, kalite ve çevre yönetimini bütünleşik olarak ele alan çalışmaların azlığından bahsedilmiştir. Ancak bu iki alanı bütünleşik olarak ele almanın gerekliliği belirtilmemiştir. Kalite ve çevre yönetimi konusunda ayrı ayrı araştırmalar yapmanın zaman kaybına yol açtığı vurgulanmıştır; ancak bütünleşik bir yaklaşımın literatüre nasıl bir katkı sağlayacağı belirsizdir. Sonuç olarak; 1.Araştırmanın temel problemi belirsizdir. Kalite ve Çevre Yönetim Sistemi (KÇY) Ölçeği geliştirilmesinin hem akademik ve hem de uygulama bağlamında bir fayda sağlaması zayıftır. Zaten ISO 9000, EFQM gibi uygulamacılar tarafından genel kabul gören standart setleri “model kriterleri, Kalite ve Çevre Yönetim Sistemleri”nin hangi boyutlar/kriterler bazında kurgulanması ve sürdürülmesi gerektiğini belirlemektedirler. Söz konusu sistemler kurum haline gelmiş ve kendi denetim/takip ve sertifikasyon yenileme/  ödüllendirme sistemlerini kabul ettirmişlerdir. 2.KÇY Sistemlerinin bir ölçek geliştirerek kavramsallaştırılması da ayrıca fayda yaratacak bir yaklaşım değildir. Zaten bir kavramsal çerçeve vardır; bu çerçeve esas alınarak kontrol listeleri- özdeğerlendirme, saha denetim formları vb. oluşturulmuştur. Akademia’nın eklektik bir model geliştirmesi veya belirtilen kontrol listelerini “ölçek geliştirme” adı altında bir kez daha oluşturmasının özgün değeri zayıftır.3.Araştırmanın problemi “Kalite ve Çevre Yönetim Sistem sertifikasyonuna yönelik yapı ve süreçlere ilişkin düzenlemeler/ sistem kurma faaliyetleri entegre bir şekilde mi yürütülmelidir? / ISO 1000 Şirketleri neden KÇY Sistemi kuruyor/ bu sistemleri kurmaktan hangi sonuçları elde etmişler/ Sistemi nasıl kurmuşlar ? / Onların tecrübelerine göre bu tür bir değişim sürecinde kritik öneme sahip adımlar nelerdir?...”  gibi somut bir biçimde yeniden ifade edilmeli ve belirlenen probleme göre örneklem- yöntem- analiz-bulgu planlaması yapılmalıdır.     4.Projenin ve dolayısıyla araştırma problem(ler)inin kuramsal olarak dayandırıldığı ifade edilen Kurumsalcı Kuram “örgütler neden benzeşiyor, bir yönetim uygulamasının difüzyonu hangi mekanizmalarla sağlanıyor”  sorularına cevap aramaktadır. Dolayısıyla araştırma probleminin de “işletmeler neden KÇY Sistem sertifikasyonuna yöneliyor, KÇY neden örgütler arasında hızla yayılıyor?” şeklinde formüle edilmesi gerekir. Yine projenin dayandırıldığı ikinci bir kuram  olarak da Kaynaklara Dayanan (resource-based ) Yaklaşım’dan söz ediliyor. Bilindiği gibi bu kuram “örgütlerin rekabet gücünü çevre değil; sahip oldukları kaynaklar ve yeteneklerden alır, her örgüt eşsiz bir kaynak kombinasyonudur” argümanına dayanmaktadır. Bu durumda projede örgütlerin neden KÇY Sistemi kurmaya zorlandıklarını müşteri baskıları, rekabetin yoğunlaşması gibi dışsal nedenlerle açıklamak ve hatta bunların bir kısmını hipotetik modele öncül-moderatör vb. değişken olarak koymak sorunlu gibi görünmektedir. "	2,67
Proje önerisi Türkçenin sözvarlığında toplumsal cinsiyete sahip 577 kelimeyi toplumdilbilimsel açıdan inceleyecek olması bakımından özgündür. Proje toplumsal rol ve değer yargılarının dile yansıyış şeklini belirlemek istemesi bakımından önemlidir. Proje konusu Türkçede daha önce ele alınmadığı kapsam ve boyutlardadır, bu nedenle ortaya konması beklenen sonuçların bilimsel değeri de o ölçüde yüksek olacaktır. Braun 2000'i tamamlayan ama ondan farklı yönlerde ve doğrudan belirli bir sözcük listesi üzerinden yapılması da araştırmanın özgün değerini artırmaktadır.	4,40
Projede imparatorluktan millî devlete geçiş yolunda önemli bir dönüm noktası olan Çanakkale Savaşlarının edebiyata yansımaları üzerinde yapılacak bir öneri bulunmaktadır. Çanakkale Savaşları Birinci Dünya Savaşı içinde bütünüyle kötüye giden bir sürecin “Türk Milleti” açısından tek olumlu noktasıdır. Bunun için de devrinden itibaren daima bir milletin kaderindeki kırılma noktası olarak görülmüş ve değerlendirilmiştir. Proje, Birinci Dünya Savaşının başlangıcının ve Çanakkale Savaşlarının 100. yılının yaklaştığı bir zamanda önemli bir teklif olarak görülmektedir. Projenin başlıca amacı “Çanakkale Zaferi’ni belgeleyen süreli yayınlardaki (1915-1923) şiir türünden metinleri derlemek ve bu metinlerdeki milli kimlik inşasının boyutlarını incelemek, tartışmaktır” şeklinde belirtilmiştir. Ancak projenin özgün değerini tartışmaya açan şu tespitlerde bulunulmuştur:1) Proje başlığında bir sınırlama öngörülmemekle birlikte önerinin şiir türüyle sınırlandırılması bir eksiklik olarak değerlendirilmiştir. 2) Proje edebiyat merkezli olmakla birlikte tarih, sosyoloji, psikoloji, dilbilim, etnografya, siyaset-bilim gibi disiplinlerden kuramsal boyutta yararlanmayı ve bu disiplinler için yeni bir bilgi sunmayı amaçlamaktadır. Ancak proje ekibi sadece Türk dili ve edebiyatı uzmanlarından oluşmaktadır. 3) Projede sadece derlemeci ve saptayıcı noktada kalınmayarak şiir üzerinden millî kimlik inşasının nasıl gerçekleştirildiğinin araştırılacağı önerilmiştir. Millî kimlik inşasına giden yolda Çanakkale zaferini anlatan şiirlerin içerik analizinin yapılması da planlanmaktadır. Bu boyutuyla önerinin özgün olduğu düşünülmektedir. Ancak projenin derlemeci ve saptayıcı kısmı ön plana çıkarılmış, analiz boyutu zayıf ve soyut bırakılmıştır. 	2,83
Proje, Eskişehir’deki Türkmen Alevilerinin yaşadığı yerleşim birimlerini tespit etmeyi, söz konusu topluluğun inanç yapısı ve halk kültürü ürünlerini ortaya çıkarmayı amaçladığı için özgündür.  Bu yolla Anadolu Alevileriyle ilgili çalışmalara katkıda bulunulabilecektir. Ancak Türkmen Alevileriyle ilgili olarak sahadan hangi halk kültürü ürünlerinin derleneceği ayrıntılı olarak açıklanmadığı için öneri yeterince özgün bulunmamıştır.  Projede, elde edilecek verilerin halkbilimi ve din sosyolojisi kuramlarına göre inceleneceği sık sık söylense de bu kuramların sınırları tam olarak çizilmemiştir. Bu kuramların nasıl, hangi boyutları ile çalışmaya katkı sunacağı belirtilmemiştir. Elde edilecek verilerin SOKÜM olarak tanımlanan ana başlıklar altında inceleneceği ifade edilmiştir. Bu ise kuramsal bir yaklaşım değil, sınıflama ölçütü olarak değerlendirilebilir. Ayrıca din sosyolojisinin ne olduğu ve nasıl uygulanacağı açıklanmamıştır. Proje önerisinde Eskişehir’de yaşayan Türkmen Alevilerine ait halk kültürü ürünlerinin UNESCO’nun “Somut Olmayan Kültürel Mirasın Korunması Sözleşmesi” kapsamında değerlendirileceği ifade edilmiştir. Buna göre söz konusu halk kültürü ürünlerine bu sözleşmenin temel hedefleri olan “koruma-yaşatma ve aktarma” bağlamında mı yaklaşılacaktır yoksa sadece mevcut kültürel değerlerin tespit edilmesine mi odaklanılacaktır, bu konuda bir belirsizlik vardır.   	3,00
"Eskişehir'de yaşayan Kırım Tatarları üzerine daha önce böyle bir çalışma yapılmamış olması önerilen çalışmanın özgün yönünü oluşturmaktadır. Kırım Tatarlarının göç ve geleneksel halk kültürü ilişkisinin ortaya konulması, sözü edilen hipotezlerin araştırılması, Kırım Tatarlarına dair bu konu temelinde yapılan çalışmaların azlığı, çalışmada toplanacak verilerin UNESCO’nun ilan ettiği Somut Olmayan Kültürel Miras kadrolarıyla ilişkilendirilmesi çalışmayı ön plana çıkarmaktadır. Elde edilen bulgular Anadolu'da yaşayan diğer diaspora toplulukları hakkında çalışma yapacak araştırmacılar için de önemli bir literatür bilgisi sağlayacağı için proje önerisinin özgün değeri olduğu düşünülmüştür. Ancak proje önerisinin literatür özetinde verilen eserler özet halinde sunulmuştur; bir analiz, sentez ya da karşılaştırma yapılmamıştır. "	4,33
"Proje önerisinin amacı ""Aksaray’ın çözünürlük düzeyi yüksek bir fotoğrafını çekebilmek ve bu eksik kapsamanın sebeplerinin neler olabileceğini tespit etmek"" olarak belirlenmiştir. Önerilen projenin Aksaray'da yapılması özgünlük olarak belirtilmiştir ancak çalışmanın özgün olabilmesi için seçilen şehirden ziyade kavramsal, teorik veya ampirik özgünlük anlaşılmalıdır. Hem nitel hem de nicel veri toplama tekniklerinin kullanılması önemlidir ancak birçok araştırmada bu tekniklerin kullanıldığı bilinmektedir; önerinin bu noktada bir özgünlük doğurmayacağı düşünülmektedir. Mütevazi olduğu iddia edilen çalışmada araştırma tarzı olarak anlamacı, açıklayıcı ve yorumlayıcı tarzların hepsinin aynı anda yapılabilmesi çok zordur.Ayrıca proje önerisi, konunun ortaya konuluşu ve kavramsallaştırma açısından bazı sorunlar taşımaktadır. Öncelikle, Eksik Kapsama Halleri (EKS) olarak tanımlanan durum, bazı toplum katmanlarının kent hayatına dahil edilmedikleri şeklinde tanımlanmaktadır. Eğer durum bu ise, kim, neden ve nasıl bu katmanları kent hayatından uzaklaştırmakta, dışlamaktadır? Araştırmanın objesi olan ev hanımları, yoksullar, yaşlılar, engelliler ve öğrenciler toplumun dışında, uzağında mı yaşamaktadır? Bu soruların cevabı proje önerisinde yer almamaktadır. Proje önerisinin bu haliyle özgün bir değere sahip olduğunu söylemek güçtür. "	2,80
