Yöntem Rapor	Yöntem
Yöntem kısmında projenin oluştuğu 10 ayrı iş paketinden bahsedilmiştir. Bu iş paketleri bize çeşitli aşamalarda eğitim programında izlenecek yoldan bahsetmektedir. İş paketleri çalışmanın teknik ayrıntılarını açıklamış ancak genel bir araştırma çerçevesini sunmamıştır. Araştırmacılara önerilen,  iş paketlerinin ayrıntılı açıklamasına geçilmeden önce, çalışmanın kullanacağı yöntemlerin, akademik bir model üzerinde açıklanması ve çatısının belirtilmesidir. Özellikle, proje önerisinde yöntemin ele alınışı netleştirilmelidir. İş paketlerinde tam olarak neler yapılacağı açık olarak yazılmamıştır. Örneğin, ihtiyaç yönetimi ve konfigürasyon tespiti aşamasında neler yapılacaktır? Kimler ne tür eğitimler alacaktır? Yazılım düzenlemeleri ne üzerinedir? Ya da modüllerde kullanılacak testlerin neden yeni baştan geliştirileceği, nasıl geliştirileceği tartışılmamış, testlerin güvenirlik, geçerlik analizlerinin nasıl yapılacağına dair bilgi verilmemiştir. Kısaca bu sistemin başarısının ölçütleri detaylandırılmamıştır. Sistemin çalışıp çalışmadığı nasıl kontrol edileceği konusu da açık değildir. Verilerin kimlerden, ne zaman ve nerede toplanacağı da belirtilmemiştir. Özetle, proje önerisinin yöntem bölümünün tasarımının ve içeriğinin yeterli düzeyde tanımlanmadığı görülmektedir. Özellikle değerlendirmede kullanılacak ölçüm araçları ve toplanacak verilerin nasıl analiz edileceğinin tatmin edici düzeyde ifade edilmediği düşünülmektedir.	2
Projenin özgün değerinin yetersiz bulunması nedeniyle, bu kriterle ilgili değerlendirme rapora yansıtılmamıştır.	3
Araştırmacılar işgörenler, yöneticiler ve müşterilerle ile yüz yüze görüşmeler yaparak, her bir grup için farklı tasarlanmış anket formu aracılığı ile toplayarak ve Nvivo ve LISREL istatistik programları kullanarak Yapısal Eşitlik Modeli (YEM) ile analiz edeceklerini belirtmektedirler. Bunun sonucunda proje uygulanmadan önceki veriler ile duygusal zeka eğitiminden sonraki veriler ile gelir istatistikleri karşılaştırılacak ve bulgular ile değerlendirmeler sunulacaktır denilmektedir. Projede, çok sık kullanılmayan deneysel yöntemin kullanılması olumlu değerlendirilmektedir. Ancak proje önerisinin yöntem bölümünün tasarımının ve içeriğinin bir önceki versiyona kıyasla halen yeterli düzeyde tanımlanmadığı görülmektedir. Örneğin, araştırmacılar ilk geribildirimde önerilen araştırma modelini eklemelerine rağmen, ekledikleri model önerdikleri hipotezlerle birebir örtüşmemektedir. Örnek olarak modelde yer alan örgütsel performans değişkeni ile ilgili hipotez geliştirilmemiştir. Ayrıca araştırma sürecinde seçilecek örneklem, bilgi toplamada kullanılacak ölçüm araçları ve toplanacak verilerin nasıl analiz edileceğinin halen tatmin edici düzeyde açıklanmadığı düşünülmektedir.Araştırmanın yöntemiyle ilgili aşağıdaki önerilerin dikkate alınması gerekmektedir:Örneklemin hangi özelliklere sahip kişilerden (yönetici, işgören vb) oluşacağı belirtilmelidir.Eğitim programı hakkında da çok az bilgi vardır. Nasıl bir eğitim programı olacağı, süresi ve kapsamının ne olacağı belirtilmelidir.DZÖ-1, DZÖ-2, MMSÖ, FPÖ gibi ölçeklerin geliştirilmesi ifade edilmiştir. Bu ölçeklerin, ölçümlenecek kavramların hangi boyutlarını hedeflediğinin açıklanması gerekir.Uygulanması planlanan eğitimin etkilerinin tespit edilmesi için eğitim öncesi ve sonrası toplanan verilerin hangi analiz yöntemleriyle karşılaştırılacağı detaylandırılmalıdır.Kuramsal modelde biçimleyici (moderating) etkilerin dikkate alınması gerekmektedir. Kuramsal modelde işe alma, kadrolama, işten ayrılma gibi öncül olabilecek değişkenlerin dikkate alınması gerekmektedir. Duygusal zeka eğitiminin etkisinin belirlenebilmesi için örgütsel performansı etkileyecek diğer değişkenlerin (ekonomik faktörler, dönemsel etkiler vb.) kontrol edilmesi gerekmektedir. Bazı değişkenler için özgün ölçek geliştirmek yerine mevcut ölçekler kullanılabilir.Konaklama sektöründeki işgücü devri yüksekliği dikkate alındığında, eğitim öncesi ve sonrasında ölçeklerin aynı katılımcılara uygulanacağından emin olunmalıdır.  	2
Proje ampirik bir çalışmadır. Bu sebeple uzun süredir yürütülmekte olan HPM projesinde kullanılan şirket anketleri Türkçeye çevrilerek, otomotiv ve yan sanayi, makine ve bilgi ve iletişim teknolojileri konusunda faaliyet gösteren 30 üretici firmadan anket yapılarak veri toplanacaktır. Her şirkete 12 anket doldurtulacaktır. Bu veriler belirlenmiş hipotezleri test etmek amaçlı olarak Yapısal Eşitlik Modellemesi kullanılarak analiz edilecektir. Özgün değerde ifade edilmiş olan kültürel faktörlere ilişkin değerlendirmelerin hangi veri üzerinden ne tür yöntemler kullanılarak yapılacağına ilişkin bilgi sunulmamıştır.   	3
"Araştırmanın ana problemi ve ona bağlı alt problemler henüz net bir şekilde formüle edilemediği için, kullanılacağı ifade edilen yöntemde de 'neyin, nasıl ve niçin yapılacağı'' muğlaktır. Bunları aşağıdaki gibi açıklamak mümkündür:1. Bu çalışma özellikle yeni bir ölçek geliştirme üzerine odaklamıştır. Fakat ÇY ve KY’nin entegre edilip bunlardan yeni bir değişken yaratılması problemlidir. Farklı düzeydeki fenomenleri nasıl birleştirebiliriz? Araştırmacıların da bahsettiği gibi, ÇY proje bazlı KY süreç bazlı bir yönetim şeklidir. Ayrıca literatüre bakıldığında, ÇY daha stratejik olup, KY’ni içerdiği veya tersi, en azından iç içe geçtiği bilinmektedir. Bu bağlamda, farklı seviyedeki değişkenleri birleştirmek, akademik anlamda, “co-linearity” ve totoloji meydana getirecektir. 2. Örneklemin ISO1000 sırlamasından alınması; KÇY konusunda hiçbir çalışması/belgesi olmayan firmaların örneklemde yer alması riskini taşıyacaktır. Bunun yerine ISO 1000 listesinde olup da TSE den KYS ve ÇYS sistem belgesine sahip olduğu doğrulanan firmaların seçilmesi daha faydalı olacaktır. 3. Araştırma modelinde yer alan KÇY uygulama düzeyi, operasyonel performans, finansal performans, rekabetin yoğunluğu gibi değişkenlerin nasıl ölçüleceği açıklanmamıştır.  Ölçeklerden söz edilmektedir ancak bilindiği gibi sözgelimi bir firmanın finansal performansı ya mali tabloları incelenerek veya yöneticilerin beyanlarına dayalı olarak ölçülmesi mümkündür. 4. Ölçek geliştirme prosedürü çerçevesinde hangi analizlerin hangi amaçla kullanılacağına ilişkin paragraflar gözden geçirilmelidir.  Geçerlilik, güvenilirlik kavramları ile keşfedici faktör analizi ve doğrulayıcı faktör analizlerinin kullanım amaç-fayda yönünden birbirleriyle eşleşmediği izlenmektedir.  5. Araştırmanın ilk örnekleminin 4-5 firma; ikinci çalışma için ise örneklem büyüklüğünün  150-200 firmadan 300-400 kişi olarak belirlenmiş olması sorunludur. Ayrıca bu sayılara “kabul edilebilir soru kağıdı geri dönme oranı” referans -ki bu oran en az%20 olmalıdır- alınarak ulaşılması da güçtür. Ölçek geliştirme çalışmalarında örneklem büyüklüğünün soru sayısının en az 10 katı olması ve yapısal eşitlik modeli uygulanacaksa örneklem büyüklüğünün en az 200 olması gerekmektedir. 6. Araştırma hem nitel hem de nicel tasarım içermektedir. Bu kabul edilebilir bir yöntemdir. Fakat araştırmacılar ""nedensellik"" ilişkilerinden bahsederken korelasyonel çalışmak yapmaktalar. Burada boylamsal çalışma yapılması gerekirdi. 7. Araştırmacılar, analizlerden bahsederken, bütün istatistiki teknikleri söylemektedirler. Fakat araştırma modeline bakıldığında, SEM modellemesi görülmektedir. Ancak Anova, t-testleri, frekans, “cross tabulation” yöntemlerin SEM modeliyle birlikte nasıl kullanılacağı belirsizdir. Araştırmacılar PLS ile AMOS dan bahsetmişlerdir; fakat bunların farklı kullanım yerleri olduğu bilinmektedir. Alternatif gibi düşünülmesi yanlış sonuç ve yorumlamalara neden olabilir. 8. Araştırmanın açıkça tanımlanmış bir modeli vardır. Bu modelde bağımlı ve bağımsız değişkenler ile aracı değişkenler belirlenmiştir. Verilerin toplanmasında derinlemesine görüşme ve anket olmak üzere iki araç aşamalı olarak kullanılacaktır. Birinci aşamada görüşme yoluyla toplanan bilgilerin, iki kavramla ilgili bütünleşik bir ölçek olmadığı için, ölçek geliştirmede kullanılacağı anlaşılmaktadır. Bu durumda nicel araştırmanın kaderi büyük ölçüde birinci aşamada elde edilen verilere bağlıdır. İkinci aşamada bin işletme arasından örneklemin nasıl belirleneceği de açık değildir. "	2
577 kelime üzerinde çalışılacağı belirtilmiştir. Hedef kelimelerin eşzamanlı ve artzamanlı toplumsal cinsiyetini değerlendirmek ve hipotezleri test etmek için niceliksel araştırma yöntemi benimseneceği, tarama araştırması ve içerik analizi olmak üzere iki teknik uygulanacağı söylenmiştir. Ne var ki proje anket çalışması için uygulamaya sokulacak kelimenin tam olarak 577 adet olduğunun nasıl belirlendiği konusunda ilgili literatür değerlendirmesi sunmamıştır. 	4
Proje malzemenin tespiti noktasında öncelikle bir derleme yapmayı hedeflemektedir. Böylece daha önce yapılmış olan derlemeler gözden geçirilerek eksiklerin tamamlanması ve yanlışlıkların giderilmesi hedeflenmektedir. 1915-1923 arasındaki süreli yayınların taranması, derlenen malzemenin Latin alfabesine aktarılması planlanmaktadır. Bundan sonra sayısal bir değerlendirme de yapılacaktır. Fakat projenin asıl hedefi kimlik inşasının bu şiirlerle nasıl yapıldığı ve bu şiirlerin kimlik inşasında nasıl kullanıldığının tespit edilmesidir. Projenin teorik kaynakları da bu hedefin doğru algılandığı ve planlandığını düşündürmektedir.Ancak projenin yöntem bakımından eksiklikleri şunlardır:1) Proje önerisinde bilgi toplama ve derlemeye yönelik yöntem verilmiştir. Önerilen disiplinlerarası çalışmayı destekleyecek bilimsel araştırma için altyapı eksiktir. ''Edebiyat, sosyoloji, tarih, dilbilim, psikoloji, siyaset-bilim, etnografya vb. alanların kuramsal yaklaşımlarından yararlanılarak yeni bir bilgi birikimi ortaya konulacaktır'' amacına yönelik kuramsal altyapı tanımı yeterli bulunmamıştır.2) Özellikle Yöntem'de “3.Dokümanları anlama” ve “4.Verileri Analiz Etme” evrelerinde bahsedilen, içerik çözümlemesinin hangi kuramlara göre yapılacağı açıklanmamıştır. ''Milli Kimlik'' kavramının psikolojik, sosyolojik, dilbilim, siyaset bilim ya da edebiyat açılarından incelenmesine altyapı oluşturan kuramlar verilmemiştir. Bu haliyle detaylı okuma yöntemi kullanılacağı anlaşılmaktadır ancak proje ekibinin bu alanda donanımlı olup olmadığı belli değildir. B planının da bu konuyla bağlantılı olarak tartışılması gerekirdi.	2
"Projede uygulanacak yöntem ve araştırma teknikleri konusunda tam bir kararlılık yoktur.  Projenin farklı konu başlıklarında, kullanılacak yöntemlere ilişkin şu bilgiler verilmiştir:1. Amaç ve hedefler başlığında yer alan “Bu araştırmada ön çalışmayla belirlediğimiz Eskişehir kent merkezinde 4 mahallede ve kırsalda ikamet eden farklı ocaklara mensup öncelikle kendini Türkmen Alevisi olarak adlandıran yöre insanının inanç yapısıyla birlikte halk kültürünü araştırmak ve tespit etmek; halkbilimi ile din sosyolojisi kuram ve yöntemleriyle ortaya koymak…”  şeklindeki cümlede elde edilen verilerin halkbilimi ve din sosyolojisi kuramlarıyla inceleneceği belirtilmiştir.2. Özgün değer bölümündeki; “Bölgenin Alevi-Bektaşi inanç yapısındaki yerleşim birimleri ilk kez yoğun bir etnografik araştırmaya tabi tutulacaktır. Araştırma evreninden etnofotografi/görsel antropoloji yöntemiyle zengin ve kaliteli bir görsel malzeme elde edilmeye çalışılacaktır.” cümlesinden ise projenin etnografik ya da antropolojik bir çalışma olacağı düşünülmektedir.3. Yöntem bölümünde “Eskişehir Türkmen Alevileri Halk Kültürü, nitel araştırma türlerinden etnografik araştırma kapsamındadır.” ifadesiyle de projenin halk kültürü araştırmasından çok etnografik bir çalışma olacağı vurgulanmıştır. Aynı bölümün ilerleyen paragraflarında “Derleme çalışmalarında kaliteli görsel malzeme sağlanmaya çalışılacak, görsel antropoloji yöntemleri uygulanacaktır.” denilmektedir.Yukarıdaki üç maddede görüldüğü üzere projede sahadan bilgi derleme aşamasında başvurulacak yöntem ve elde edilen verilerin hangi kuram ya da kuramlar doğrultusunda inceleneceği konusu gerekçeleriyle birlikte açıkça yazılmamıştır. Literatür değerlendirmesinde bir plan yoktur. Burada genel olarak halkbilimiyle ve Anadolu Alevileriyle ilgili çalışmalardan bahsedilmiş, yapılması planlanan bu projenin mevcut yayınlardan farkı ya da bunlara katkısı üzerinde durulmamıştır. Projenin araştırma soruları yörede yaşayan Alevilerin inanç yapısını ve halk kültürü ürünlerini ortaya koymaya elverişli değildir. Sorular, bu şehirde yaşayan Alevilerin bağlı bulunduğu ocak ya da ocaklardan başlayarak, yaşam tarzını, inanışlarını, törenlerini, kutlamalarını, gelenek ve göreneklerini, günümüz yaşam koşullarına göre halk kültürü ürünlerinde meydana gelen değişimleri vb. özelliklerini belirleyici şekilde gözden geçirilmelidir. "	2
Halkbilimi kuram ve yöntemlerine göre araştırma ve incelemeler yapılacağı belirtilmekle birlikte yöntem geliştirilebilir. Yöntem başlığı içinde B planıyla ilgili bilgi verilmemiştir. Uygulanacak yöntem ve araştırma teknikleri literatüre atıf yapılarak yeterince tartışılmamıştır ve araştırmanın aksayabilecek yönleri ve B planı ilişkilendirilmemiştir. Öneride verilen ''araştırmanın teorik olan kısımlarında ise alan-yazın taramasına bağlı olarak Türkiye ve Kırım'daki yazılı kaynaklardan yararlanma yöntemleri benimsenecektir'' ifadesi detaylandırılmamıştır. Hangi teorilerin kullanılacağı da net değildir. Ayrıca elde edilen verilerin ''anlayıcı bir eğilimle'' değerlendirileceği belirtilse de bunun nasıl olacağı tartışılmamıştır.  Yöntemdeki bu eksikliklerin bu kapsamdaki bir proje için giderilmesi gerektiği düşünülmektedir. Eskişehir Kırım Tatar kültürünün diğer gruplarla etkileşiminin araştırılması konunun dağılmasına neden olabilir. Bu hususun nasıl yapılacağı daha iyi açıklanmalıdır. 	4
"Proje önerisi yöntem konusunda yeterli bulunmamıştır. ""Elde edilen nicel verilerle parametrik ve non-parametrik istatistiki analizler yapılacaktır"", ""Çalışmanın sorularını hazırlamadan ve saha araştırmasına çıkıp, verileri kodlayıp elde etmeden yapılacak istatistiki analiz yöntemlerini kesin bir şekilde ifade etmek, çoğu zaman doğru olmamaktadır. Çünkü kodlama sürecinde veriler değişebilmekte veya her ne kadar pilot araştırma yapılsa da bazı maddeler çalışmayabilmektedir"", “Bu açıdan proje kapsamında EKH’e yönelik ölçek geliştirme çalışması yapılacaktır. Daha sonraki çalışmalara da ışık tutabilecek bir ölçek elde edilmesi bu proje için önemli olacaktır. Elde edilen ölçekle ise diğer sorular ve veri setleri analizlere tabi tutularak en uygun değerlendirme biçimine ulaşılacaktır.” ifadeleri veri toplama ve analiz aşamasında ciddi sıkıntılar doğurabilir. Projede analiz yöntemi kapsamında öngörülen “frekans, mod, medyan, aritmetik ortalama, kare, t-test, ANOVA, Regresyon, Faktör analizi” tekniklerinin hangi durumlarda, ne amaçla kullanılacağı açıklanmamıştır.  "	2
